Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Mo,Williams",Cle,33,41,18.2,42,8.2,1.8,0.34,0.12
"Monta,Ellis",Ind,30,81,33.8,206,13.8,3.3,1.85,0.46
"Montrezl,Harrell",Hou,22,39,9.7,46,3.6,1.7,0.28,0.28
"Myles,Turner",Ind,19,60,22.8,121,10.3,5.5,0.42,1.43
"Nate,Robinson",Nor,31,2,11.7,0,0,0,0.5,0
"Nemanja,Bjelica",Min,27,60,17.9,55,5.1,3.5,0.43,0.35
Nene,Was,33,57,19.2,185,9.2,4.5,0.95,0.46
"Nerlens,Noel",Phi,21,67,29.3,227,11.1,8.1,1.76,1.49
"Nick,Collison",Okc,35,59,11.9,33,2.1,2.9,0.25,0.27
"Nick,Young",Lal,30,54,19.1,76,7.3,1.8,0.43,0.13
"Nicolas,Batum",Cha,27,70,35,192,14.9,6.1,0.93,0.61
"Nik,Stauskas",Phi,22,73,24.8,118,8.5,2.5,0.6,0.27
"Nikola,Jokic",Den,20,80,21.7,190,10,7,0.99,0.63
"Nikola,Mirotic",Chi,24,66,24.9,181,11.8,5.5,0.88,0.7
"Nikola,Pekovic",Min,30,12,13,20,4.5,1.8,0.08,0
"Nikola,Vucevic",Orl,25,65,31.3,150,18.2,8.8,0.82,1.08
"Noah,Vonleh",Por,20,78,15,51,3.6,3.9,0.35,0.33
"Norman,Powell",Tor,22,49,14.8,53,5.6,2.3,0.59,0.2
"Norris,Cole",Nor,27,45,26.6,65,10.6,3.4,0.82,0.11
"O.J.,Mayo",Mil,28,41,26.6,40,7.8,2.6,1.17,0.2
"Omer,Asik",Nor,29,68,17.3,112,4,6.1,0.31,0.34
"Omri,Casspi",Sac,27,69,27.3,159,11.8,5.9,0.81,0.25
"Orlando,Johnson",Pho,26,2,23.7,6,8,4.5,1,1.5
"Orlando,Johnson",Nor,26,5,10.9,2,2,1.2,0.2,0
"Otto,Porter",Was,22,75,30.3,126,11.6,5.2,1.4,0.43
"Pablo,Prigioni",Lac,38,59,13.9,8,2.5,1.9,0.9,0.02
"Patrick,Beverley",Hou,27,71,28.7,88,9.9,3.5,1.32,0.37
"Patrick,Patterson",Tor,26,79,25.6,34,6.9,4.3,0.67,0.41
"Patty,Mills",San,27,81,20.5,58,8.5,2,0.73,0.07
"Pau,Gasol",Chi,35,72,31.8,289,16.5,11,0.58,2.03
"Paul,George",Ind,25,81,34.8,528,23.1,7,1.88,0.36
"Paul,Millsap",Atl,30,81,32.7,408,17.1,9,1.81,1.72
"Paul,Pierce",Lac,38,68,18.1,66,6.1,2.7,0.49,0.25
"Phil,Pressey",Phi,24,14,12.1,18,3.9,1.6,0.79,0.07
"Phil,Pressey",Pho,24,9,12.6,7,2.4,0.9,0.78,0.33
"PJ,Hairston",Cha,23,48,19.5,42,6,2.7,0.5,0.15
"PJ,Hairston",Mem,23,18,20.9,22,6.9,2.6,0.44,0.22
"PJ,Tucker",Pho,30,82,31,142,8,6.2,1.29,0.24
"Quincy,Acy",Sac,25,59,14.8,68,5.2,3.2,0.49,0.41
"Rajon,Rondo",Sac,29,72,35.2,150,11.9,6,1.96,0.14
"Ramon,Sessions",Was,29,82,20.3,283,9.9,2.5,0.56,0.06
"Randy,Foye",Den,32,54,19.8,47,6,1.9,0.48,0.3
"Randy,Foye",Okc,32,27,21.2,27,5.6,1.9,0.48,0.48
"Rashad,Vaughn",Mil,19,70,14.3,15,3.1,1.3,0.41,0.23
"Rasual,Butler",San,36,46,9.4,16,2.7,1.2,0.28,0.5
"Raul,Neto",Uta,23,81,18.5,70,5.9,1.5,0.77,0.02
"Ray,McCallum",San,24,31,8.3,10,2.2,1,0.16,0.13
"Ray,McCallum",Mem,24,10,21.9,5,6.9,1.6,0.7,0.3
"Raymond,Felton",Dal,31,80,27.4,176,9.5,3.2,0.85,0.19
"Reggie,Bullock",Det,24,37,11.6,15,3.3,1.8,0.27,0.05
"Reggie,Jackson",Det,25,79,30.7,337,18.8,3.2,0.75,0.14
"Richard,Jefferson",Cle,35,74,17.9,87,5.5,1.7,0.45,0.19
"Richaun,Holmes",Phi,22,51,13.8,74,5.6,2.6,0.37,0.78
"Ricky,Rubio",Min,25,76,30.6,314,10.1,4.3,2.13,0.13
"RJ,Hunter",Bos,22,36,8.7,7,2.7,1,0.39,0.11
"Robert,Covington",Phi,25,67,28.4,177,12.8,6.3,1.57,0.6
"Robert,Sacre",Lal,26,25,12.8,38,3.5,2.9,0.16,0.4
"Robin,Lopez",Nyk,27,82,27.1,161,10.3,7.3,0.2,1.57
"Rodney,Hood",Uta,23,79,32.2,200,14.5,3.4,0.92,0.2
"Rodney,Stuckey",Ind,29,58,22,158,8.9,2.7,0.74,0.14
"Rondae,Hollis-Jefferson",Bro,21,29,21.2,52,5.8,5.3,1.34,0.55
"Ronnie,Price",Pho,32,62,19.5,41,5.3,1.6,1.19,0.21
"Roy,Hibbert",Lal,29,81,23.2,145,5.9,4.9,0.4,1.36
"Rudy,Gay",Sac,29,70,34,254,17.2,6.5,1.43,0.73
"Rudy,Gobert",Uta,23,61,31.7,283,9.1,11,0.74,2.16
"Russell,Westbrook",Okc,27,80,34.4,573,23.5,7.9,2.04,0.25
"Ryan,Anderson",Nor,27,66,30.4,228,17,6,0.58,0.38
"Ryan,Hollins",Was,31,5,9.6,0,1.6,2.2,0,0.2
"Ryan,Hollins",Mem,31,32,12.9,42,3.6,2.7,0.19,0.63
"Ryan,Kelly",Lal,24,36,13.1,54,4.2,3.4,0.36,0.28
"Salah,Mejri",Dal,29,34,11.7,46,3.7,3.6,0.24,1
"Sasha,Vujacic",Nyk,31,61,14.9,39,4.9,2.4,0.56,0.08
"Sean,Kilpatrick",Den,26,8,10.3,8,3.4,0.8,0.25,0
"Sean,Kilpatrick",Bro,26,23,23.2,59,13.8,2.2,0.43,0.09
"Serge,Ibaka",Okc,26,78,32.1,121,12.6,6.8,0.49,1.9
"Sergey,Karasev",Bro,22,40,10,28,2.4,1.5,0.15,0.05
"Seth,Curry",Sac,25,44,15.7,54,6.8,1.4,0.5,0.07
"Shabazz,Muhammad",Min,23,82,20.5,242,10.5,3.3,0.29,0.09
"Shabazz,Napier",Orl,24,55,10.9,45,3.7,1,0.42,0.02
"Shane,Larkin",Bro,23,78,22.4,107,7.3,2.3,1.22,0.15
"Shaun,Livingston",Gol,30,78,19.5,93,6.3,2.2,0.73,0.35
"Shayne,Whittington",Ind,24,7,5.8,2,1.6,1.7,0.14,0.14
"Shelvin,Mack",Atl,25,24,7.5,12,3.9,0.9,0.33,0
"Shelvin,Mack",Uta,25,28,31.4,49,12.7,3.8,0.93,0.11
"Solomon,Hill",Ind,24,59,14.7,42,4.2,2.8,0.63,0.19
"Sonny,Weems",Pho,29,36,11.7,13,2.5,1.1,0.28,0.03
"Sonny,Weems",Phi,29,7,11.1,2,2.4,1.7,0,0
"Spencer,Dinwiddie",Det,22,12,13.3,33,4.8,1.4,0.25,0
"Spencer,Hawes",Cha,27,57,18.2,65,6,4.3,0.39,0.47
"Stanley,Johnson",Det,19,73,23.1,102,8.1,4.2,0.75,0.16
"Stephen,Curry",Gol,27,79,34.2,400,30.1,5.4,2.14,0.2
"Steve,Blake",Det,35,58,17,20,4.4,1.5,0.41,0.09
"Steve,Novak",Mil,32,3,6.6,1,2.3,0.3,0,0
"Steven,Adams",Okc,22,80,25.2,196,8,6.7,0.53,1.11
"Taj,Gibson",Chi,30,73,26.5,146,8.6,6.9,0.64,1.05
"Tarik,Black",Lal,24,39,12.7,45,3.4,4,0.36,0.46
"Tayshaun,Prince",Min,35,77,19,19,2.9,1.9,0.47,0.17
"Terrence,Jones",Hou,24,50,20.9,116,8.7,4.2,0.46,0.76
"Terrence,Ross",Tor,24,73,23.9,62,9.9,2.5,0.74,0.34
"Terry,Rozier",Bos,21,39,8,10,1.8,1.6,0.15,0.03
"Thabo,Sefolosha",Atl,31,75,23.4,99,6.4,4.5,1.13,0.49
"Thaddeus,Young",Bro,27,73,33,163,15.1,9,1.53,0.51
"Thomas,Robinson",Bro,24,71,12.9,109,4.3,5.1,0.55,0.51
"Tiago,Splitter",Atl,31,36,16.1,48,5.6,3.3,0.56,0.33
"Tibor,Pleiss",Uta,26,12,6.8,2,2,1.3,0.08,0.17
"Tim,Duncan",San,39,61,25.2,131,8.6,7.3,0.77,1.28
"Tim,Frazier",Por,25,35,7.8,15,1.5,1.1,0.29,0.03
"Tim,Frazier",Nor,25,16,29.3,59,13.1,4.4,1.44,0.06
"Tim,Hardaway,Jr.",Atl,23,51,16.9,56,6.4,1.7,0.41,0.14
"Timofey,Mozgov",Cle,29,76,17.4,95,6.3,4.4,0.29,0.75
"TJ,McConnell",Phi,23,81,19.8,41,6.1,3.1,1.17,0.12
"TJ,Warren",Pho,22,47,22.8,64,11,3.1,0.79,0.34
"Tobias,Harris",Orl,23,49,32.9,153,13.7,7,0.96,0.57
"Tobias,Harris",Det,23,27,33.5,90,16.6,6.2,0.67,0.44
"Toney,Douglas",Nor,29,61,20.7,99,8.7,2.3,1.15,0.08
"Tony,Allen",Mem,34,64,25.3,138,8.4,4.6,1.72,0.28
"Tony,Parker",San,33,72,27.5,171,11.9,2.4,0.75,0.15
"Tony,Snell",Chi,24,64,20.3,33,5.3,3.1,0.25,0.27
"Tony,Wroten",Phi,22,8,18,37,8.4,2.6,0.38,0
"Trevor,Ariza",Hou,30,81,35.3,161,12.7,4.5,1.99,0.32
"Trevor,Booker",Uta,28,79,20.7,106,5.9,5.7,0.75,0.52
"Trey,Burke",Uta,23,64,21.3,82,10.6,1.8,0.55,0.09
"Trey,Lyles",Uta,20,80,17.3,82,6.1,3.7,0.33,0.23
"Tristan,Thompson",Cle,24,82,27.7,242,7.8,9,0.46,0.62
"Troy,Daniels",Cha,24,43,11.1,9,5.6,1.3,0.26,0.07
"Ty,Lawson",Hou,28,53,22.2,80,5.8,1.7,0.81,0.11
"Ty,Lawson",Ind,28,13,18.1,6,4.9,2.4,0.77,0.08
"Tyler,Ennis",Mil,21,46,14.2,34,4.5,1.6,0.54,0.02
"Tyler,Hansbrough",Cha,30,44,7.8,65,2.4,2,0.27,0.16
"Tyler,Johnson",Mia,23,36,24,64,8.7,3,0.67,0.39
"Tyler,Zeller",Bos,26,60,11.8,108,6.1,3,0.17,0.37
"Tyreke,Evans",Nor,26,25,30.6,93,15.2,5.2,1.28,0.32
"Tyson,Chandler",Pho,33,66,24.5,171,7.2,8.7,0.55,0.67
"Tyus,Jones",Min,19,37,15.5,39,4.2,1.3,0.84,0.08
"Udonis,Haslem",Mia,35,37,7,14,1.6,2,0.14,0.05
"Victor,Oladipo",Orl,23,72,33.1,247,16,4.8,1.61,0.75
"Vince,Carter",Mem,39,60,16.8,84,6.6,2.4,0.63,0.27
"Walter,Tavares",Atl,23,11,6.6,8,2.3,1.9,0.09,0.55
"Wayne,Ellington",Bro,28,76,21.3,63,7.7,2.3,0.63,0.07
"Wesley,Johnson",Lac,28,80,20.8,46,6.9,3.1,1.11,0.7
"Wesley,Matthews",Dal,29,78,33.9,146,12.5,3.1,1,0.22
"Will,Barton",Den,25,82,28.7,268,14.4,5.8,0.87,0.48
"Willie,Cauley-Stein",Sac,22,66,21.4,125,7,5.3,0.73,1
"Willie,Reed",Bro,25,39,10.9,55,4.7,3.1,0.15,0.77
"Xavier,Munford",Mem,23,14,17.5,14,5.7,2.2,0.93,0.21
"Zach,LaVine",Min,20,82,28,203,14,2.8,0.84,0.21
"Zach,Randolph",Mem,34,68,29.7,216,15.3,7.8,0.63,0.19
"Zaza,Pachulia",Dal,31,76,26.4,276,8.6,9.4,0.84,0.29
